"","measure_A","measure_B","code","month"
"1",40.4804199002683,465.520594967529,"w","June"
"2",10.9047121135518,164.147100178525,"z","December"
"3",65.3924649115652,36.8959840852767,"p","October"
"4",28.7010760046542,256.705761305057,"f","September"
"5",90.3380323667079,354.53855257947,"s","November"
"6",30.2685003727674,373.173574218526,"r","September"
"7",57.1364858653396,117.111478582956,"i","September"
"8",22.17165986076,194.74663422443,"g","December"
"9",14.5439766580239,321.879999479279,"p","April"
"10",88.4217022219673,106.518097221851,"s","January"
"11",61.4396786084399,348.319917800836,"h","March"
"12",64.9439845699817,466.952590621077,"a","July"
"13",85.4204525239766,120.975548750721,"u","May"
"14",10.3705705143511,484.990988159552,"w","June"
"15",35.2489689830691,106.56845360063,"p","September"
"16",76.596778514795,55.6895907502621,"f","April"
"17",61.0058576799929,291.724615846761,"o","May"
"18",92.6116374786943,111.489862203598,"u","March"
"19",11.7501888191327,420.630007050931,"e","August"
"20",48.543084342964,3.55012121144682,"c","October"
"21",35.4293219046667,164.349411264993,"n","June"
"22",25.4089667927474,131.491587380879,"c","January"
"23",61.9610939407721,467.183636617847,"v","April"
"24",82.6656523859128,6.85698084998876,"y","April"
"25",10.7537931529805,126.754400902428,"k","January"
"26",88.8053867034614,375.632760580629,"q","January"
"27",14.9241116130725,483.300245949067,"e","May"
"28",8.9248324977234,234.731230186298,"l","June"
"29",28.2670206390321,287.898057838902,"r","March"
"30",5.17586232163012,485.274662147276,"c","May"
"31",62.840222613886,252.938804682344,"s","April"
"32",82.6925324741751,260.268252342939,"n","January"
"33",57.4094994226471,363.846691441722,"v","December"
"34",39.3998279934749,210.886460612528,"y","September"
"35",57.0723575074226,464.591878699139,"j","May"
"36",54.1280569974333,374.733317410573,"a","December"
"37",84.1316825710237,94.103540875949,"p","March"
"38",61.8108858121559,270.143027533777,"n","September"
"39",66.9304636772722,156.569861806929,"b","December"
"40",56.5651726676151,124.596483190544,"o","November"
"41",47.5160504691303,326.716107898392,"b","July"
"42",17.8956980118528,483.269605436362,"h","November"
"43",55.9091209899634,362.102506333031,"i","July"
"44",28.9860854158178,472.711239242926,"o","April"
"45",3.16849141381681,458.352680085227,"w","August"
"46",4.45393507834524,6.43561105243862,"o","June"
"47",83.6686629569158,190.957982675172,"y","March"
"48",40.8497241791338,59.476466034539,"o","June"
"49",60.6233656872064,315.656673628837,"d","August"
"50",51.8220674945042,281.033177161589,"t","March"
"51",38.348557241261,108.980608871207,"t","November"
"52",39.2085282830521,412.095366977155,"i","September"
"53",81.08791699633,234.199811820872,"a","May"
"54",60.0092916283756,353.430857649073,"w","August"
"55",66.8073368258774,187.608196982183,"v","March"
"56",85.4146313853562,283.948098542169,"o","April"
"57",59.8260029219091,423.608218552545,"o","June"
"58",81.3874493585899,181.926247663796,"h","March"
"59",20.0687097152695,332.72814413067,"t","February"
"60",75.4035431658849,392.252379911952,"a","December"
"61",24.1968204267323,164.431834942661,"z","December"
"62",37.5527507159859,288.248531636782,"s","August"
"63",95.2736391918734,222.902023349889,"j","September"
"64",75.647936668247,102.360068471171,"s","March"
"65",94.9376710224897,37.1871769893914,"a","October"
"66",62.2597297187895,241.545687662438,"v","November"
"67",3.38714078534395,438.762507168576,"n","April"
"68",17.5587669480592,215.432550874539,"m","July"
"69",39.5850101718679,124.194306205027,"z","September"
"70",45.7171918824315,188.139326986857,"v","April"
"71",74.8552729608491,318.32955905702,"k","March"
"72",37.1806951472536,298.388954950497,"v","July"
"73",64.8567065596581,363.657719804905,"j","March"
"74",47.6124032167718,34.2936982633546,"h","May"
"75",90.0578614091501,197.387634078041,"e","October"
"76",1.73108382150531,476.722577121109,"u","July"
"77",27.0641363691539,402.812229353003,"c","November"
"78",41.3146842038259,212.970681139268,"u","October"
"79",33.8372417958453,296.507350634784,"c","January"
"80",23.967590299435,355.63527722843,"r","February"
"81",87.7942896680906,313.517231494188,"f","April"
"82",93.996557011269,187.403162126429,"g","April"
"83",30.7853940408677,366.012723767199,"z","February"
"84",87.245079362765,159.686837461777,"h","December"
"85",0.348348822444677,170.51718395669,"c","August"
"86",99.2674326756969,483.904838212766,"y","February"
"87",14.7326817503199,295.040409546345,"j","December"
"88",24.697578814812,389.932610210963,"h","January"
"89",11.5086523350328,167.555551044643,"v","September"
"90",72.5520415697247,233.722954755649,"d","September"
"91",9.9018155829981,69.9019759194925,"v","July"
"92",7.66407633200288,261.326618143357,"w","September"
"93",0.194134167395532,49.0262296516448,"q","September"
"94",50.8848436642438,150.085637578741,"z","July"
"95",29.7055521747097,301.076649222523,"n","October"
"96",85.9322126721963,437.949707382359,"m","July"
"97",30.7774429442361,377.837057574652,"q","August"
"98",2.46353081893176,358.185253920965,"a","April"
"99",60.4728365549818,149.801297113299,"l","April"
"100",72.0889129908755,404.779228847474,"r","October"
